Judul,Merek,Model_Detail,Harga,Tahun,Kilometer,Lokasi,UsiaMobil,Inflasi,HargaSekarang_DeflasiKeThnBuat,EstimasiHargaAwal_PadaThnBuat,EstimasiHargaAwal_NilaiSaatIni,DepresiasiRiilAbsolut_PerThn_PadaThnBuat,DepresiasiRiilNormal_PersenPerThn,DepresiasiAbsolut_PerThn_NilaiSaatIni
2017 Toyota Sienta 1.5 V MPV,Toyota,Sienta V,151000000.0,2017,72500,DKI Jakarta,8,0.0380879806953157,145459732.51598537,337911295.3016452,350781654.1938234,24056445.34820748,7.1191598749999985,24972706.774227925
2014 Toyota Vellfire 2.4 Z MPV,Toyota,Vellfire Z,299000000.0,2014,72500,DKI Jakarta,11,0.0639492540819922,281028440.8329101,895535218.8053966,952804028.0521553,55864252.54295332,6.23808549009091,59436729.822923206
2014 Nissan March 1.2 XS Hatchback,Nissan,March XS,90000000.0,2014,82500,DKI Jakarta,11,0.0639492540819922,84590500.5851569,269559095.96149063,286797199.0792441,16815326.852393974,6.238085490090907,17890654.46174946
2022 Mercedes-Benz C200 1.5 Avantgarde Line Sedan,Mercedes-Benz,C200 Avantgarde Line,765000000.0,2022,7500,DKI Jakarta,3,0.042094638340216504,734098393.614657,1006993681.2272387,1049382716.0493826,90965095.87086053,9.033333333333331,94794238.68312752
2013 Porsche Cayenne 4.8 S SUV,Porsche,Cayenne S,675000000.0,2013,42500,DKI Jakarta,12,0.06412513301564181,634323895.8064137,2245954526.250786,2389976658.9937005,134302552.53703102,5.979753862658333,142914721.58280838
2022 Toyota Rush 1.5 GR Sport SUV,Toyota,Rush GR Sport,223000000.0,2022,42500,Jawa Barat,3,0.042094638340216504,213992080.75303075,293541948.9067637,305898491.0836762,26516622.717910975,9.03333333333333,27632830.361225408
2020 Land Rover Range Rover Sport 2.0 HSE PHEV SUV,Land Rover,Range Rover Sport HSE PHEV,4250000000.0,2020,17500,DKI Jakarta,5,0.019209680056685,4169897601.211587,7061758202.868104,7197412318.582871,578372120.3313034,8.190199999999999,589482463.7165743
2015 Mercedes-Benz S400L 3.0 Exclusive CBU Sedan,Mercedes-Benz,S400L Exclusive CBU,575000000.0,2015,42500,DKI Jakarta,10,0.0636312113115612,540600909.304804,1550428266.0831022,1649083894.7056534,100982735.67782983,6.513215599,107408389.47056535
2015 Mercedes-Benz E250 2.0 AMG Convertible,Mercedes-Benz,E250 AMG,850000000.0,2015,22500,DKI Jakarta,10,0.0636312113115612,799149170.2766666,2291937436.8184986,2437776192.1735744,149278826.6541832,6.513215599,158777619.21735746
2015 Mercedes-Benz C250 2.0 AMG Sedan,Mercedes-Benz,C250 AMG,415000000.0,2015,37500,DKI Jakarta,10,0.0636312113115612,390172830.19390196,1119004748.5643258,1190208376.1788628,72883191.83704238,6.513215598999998,77520837.61788628
2024 BMW X6 3.0 xDrive40i M Sport Pro SUV,BMW,X6 xDrive40i M Sport Pro,1950000000.0,2024,2500,DKI Jakarta,1,0.0226,1906903970.271856,2118782189.190951,2166666666.6666665,211878218.91909504,9.999999999999996,216666666.6666665
2023 Toyota Alphard 2.5 G MPV,Toyota,Alphard G,1060000000.0,2023,12500,DKI Jakarta,2,0.036701314237700705,1022473865.3673177,1262313414.0337255,1308641975.308642,119919774.33320391,9.499999999999998,124320987.65432096
2020 Honda Civic 1.5 RS Hatchback,Honda,Civic RS,332000000.0,2020,77500,Banten,5,0.019209680056685,325742589.0828816,551647934.9064025,562244915.2398854,45181069.16470417,8.190199999999999,46048983.04797709
2020 Toyota Fortuner 2.4 VRZ TRD 4X2 SUV,Toyota,Fortuner VRZ TRD 4X2,410000000.0,2020,77500,DKI Jakarta,5,0.019209680056685,402272474.4698237,681251967.8060994,694338600.1456417,55795898.66725514,8.190199999999997,56867720.029128335
2022 Toyota Alphard 2.5 G MPV,Toyota,Alphard G,975000000.0,2022,17500,DKI Jakarta,3,0.042094638340216504,935615599.7049551,1283423319.2111866,1337448559.6707819,115935906.50207718,9.033333333333331,120816186.55692728
2017 Toyota Kijang Innova 2.0 G MPV,Toyota,Kijang Innova G,215000000.0,2017,77500,DKI Jakarta,8,0.0380879806953157,207111539.6750785,481131976.7539982,499457322.1965035,34252554.63486496,7.1191598749999985,35557165.27456294
2024 Toyota Camry 2.5 V Sedan,Toyota,Camry V,625000000.0,2024,2500,DKI Jakarta,1,0.0226,611187169.9589282,679096855.5099202,694444444.4444444,67909685.55099201,9.999999999999998,69444444.44444442
2017 Toyota Alphard 2.5 G MPV,Toyota,Alphard G,560000000.0,2017,72500,DKI Jakarta,8,0.0380879806953157,539453312.6420649,1253180962.7080882,1300912095.0234509,89215956.2582529,7.1191598749999985,92614011.87793136
2022 Honda HR-V 1.5 Special Edition SUV,Honda,HR-V Special Edition,330000000.0,2022,27500,DKI Jakarta,3,0.042094638340216504,316669895.28475404,434389431.1176324,452674897.11934155,39239845.27762612,9.033333333333331,40891632.37311385
2018 Wuling Confero 1.5 S L Lux+ MPV,Wuling,Confero S L Lux+,95000000.0,2018,67500,DKI Jakarta,7,0.031983464156241,92055738.58460304,192465681.01236495,198621400.22233045,14344277.489680273,7.452901428571428,14803057.174618635
2023 Hyundai Creta 1.5 Prime SUV,Hyundai,Creta Prime,305000000.0,2023,47500,DKI Jakarta,2,0.036701314237700705,294202385.7896527,363212821.9625342,376543209.87654316,34505218.08644074,9.499999999999998,35771604.93827158
